"","title","year","rating","genre","genre_numeric"
"1","Hell's Outpost",1954,6.9,"Action",1
"2","Crosscut",1996,5.5,"Action",1
"3","Sudden Death",1985,4.2,"Action",1
"4","Hostile Environment",1998,2.6,"Action",1
"5","Impatto mortale",1984,4,"Action",1
"6","Space Raiders",1983,3.9,"Action",1
"7","Naser Salah el Dine, El",1963,7.3,"Action",1
"8","Plan",2004,5.2,"Action",1
"9","Radar Men From the Moon",1952,4.5,"Action",1
"10","Tuareg - Il guerriero del deserto",1984,5.5,"Action",1
"11","Viking Sagas, The",1995,4.6,"Action",1
"12","Alienator",1989,2.8,"Action",1
"13","Tanks Are Coming, The",1951,5.8,"Action",1
"14","Last Marshal, The",1999,5.1,"Action",1
"15","Scanners III: The Takeover",1992,3.8,"Action",1
"16","Bagong buwan",2001,6.2,"Action",1
"17","Sky Bandits",1986,3.8,"Action",1
"18","Eve of Destruction",1991,4.5,"Action",1
"19","Yojimbo",1961,8.4,"Action",1
"20","Traitor's Heart",1999,2.7,"Action",1
"21","Missione speciale Lady Chaplin",1966,5.1,"Action",1
"22","Fang shiyu",1973,4.2,"Action",1
"23","Tarzan the Magnificent",1960,5.6,"Action",1
"24","Blind Fury",1989,5.6,"Action",1
"25","Wing Commander",1999,3.7,"Action",1
"26","Bloodfist II",1990,2.8,"Action",1
"27","Avventure di Mary Read, Le",1961,5.6,"Action",1
"28","Avalanche",1946,4.9,"Action",1
"29","Detroit 9000",1973,5.4,"Action",1
"30","Distant Justice",1992,3.8,"Action",1
"31","Immortal Combat",1994,3.7,"Action",1
"32","South of the Rio Grande",1932,4.6,"Action",1
"33","Strategia per una missione di morte",1979,3.7,"Action",1
"34","American Yakuza",1993,5.2,"Action",1
"35","Black Samson",1974,5.2,"Action",1
"36","Thunder III",1988,2.9,"Action",1
"37","Tarzan and the Leopard Woman",1946,6.1,"Action",1
"38","Kill Zone",1993,4.3,"Action",1
"39","Law and Order",1953,3.9,"Action",1
"40","Fantastici tre supermen, I",1967,7.9,"Action",1
"41","Killing Cars",1986,4.4,"Action",1
"42","Miami Connection",1986,3.7,"Action",1
"43","Swarm, The",1978,3.8,"Action",1
"44","Nankyoku monogatari",1983,6.9,"Action",1
"45","Lakeer - Forbidden Lines",2004,5.3,"Action",1
"46","Teufelscamp der verlorenen Frauen",1977,4.2,"Action",1
"47","Lost Battalion",1961,4.8,"Action",1
"48","Wong gok fung wan",1996,6.9,"Action",1
"49","Behind Enemy Lines",1986,4.3,"Action",1
"50","Aftershock",1990,3.5,"Action",1
"51","Ninja, the Violent Sorceror",1986,2.8,"Action",1
"52","Die Hard",1988,8,"Action",1
"53","Dangerous Prey",1995,3.5,"Action",1
"54","Friday the 13th Part 2",1981,4.9,"Action",1
"55","Modern Warriors",2002,5.8,"Action",1
"56","Midnight Man",1995,5.9,"Action",1
"57","Banlieue 13",2004,5.7,"Action",1
"58","Shadow Warriors",1992,2.7,"Action",1
"59","Vietnam, Texas",1990,3.8,"Action",1
"60","Final Comedown, The",1972,5.5,"Action",1
"61","Hell's Belles",1970,5,"Action",1
"62","Past Perfect",1998,4.3,"Action",1
"63","Airboss III: The Payback",1999,2.5,"Action",1
"64","Agent for H.A.R.M.",1966,2.4,"Action",1
"65","Svoy sredi chuzhikh, chuzhoy sredi svoikh",1974,7.1,"Action",1
"66","Death Wish 3",1985,4.1,"Action",1
"67","Rocky IV",1985,5.3,"Action",1
"68","Behind Enemy Lines",1996,4.3,"Action",1
"69","Assault on Precinct 13",2005,6.3,"Action",1
"70","Gone in 60 Seconds",1974,6.1,"Action",1
"71","Hellriders",1984,2.7,"Action",1
"72","2001 Yonggary",1999,3.1,"Action",1
"73","Huo shao hong lian si",1994,6.7,"Action",1
"74","Pirates of the High Seas",1950,6.5,"Action",1
"75","Hitchhiker",2003,5.3,"Action",1
"76","Era of Vampire, The",2002,4.2,"Action",1
"77","Silicon Towers",1999,3.4,"Action",1
"78","Ultimax Force",1986,3,"Action",1
"79","Wesley Cash",2004,8.2,"Action",1
"80","Bangkok Dangerous",1999,6.5,"Action",1
"81","Gang Warz",2004,6,"Action",1
"82","Power Elite",2002,3.6,"Action",1
"83","Broken Allegiance",2002,5.8,"Action",1
"84","For Life or Death",1996,3.8,"Action",1
"85","Shin jingi no hakaba",2002,6.9,"Action",1
"86","Di yi lei xing wei xian",1980,7.7,"Action",1
"87","2009: Lost Memories",2002,6.6,"Action",1
"88","Cosacchi, I",1959,5,"Action",1
"89","Supermarkt",1974,6.9,"Action",1
"90","Inferno in diretta",1985,5.4,"Action",1
"91","Black Lolita",1975,5.4,"Action",1
"92","Laser Mission",1990,2.5,"Action",1
"93","Colpi di luce",1985,4.4,"Action",1
"94","Leng mian hu",1973,9.8,"Action",1
"95","S.",1998,4.7,"Action",1
"96","Jurassic Park",1993,7.4,"Action",1
"97","Bounty Tracker",1993,4.3,"Action",1
"98","Wanted: Dead or Alive",1987,5.3,"Action",1
"99","Hostile Intentions",1994,4.5,"Action",1
"100","Romeo Must Die",2000,5.8,"Action",1
"101","Vendetta di Ercole, La",1960,3.2,"Action",1
"102","False Paradise",1948,7.1,"Action",1
"103","Automatic",1994,5,"Action",1
"104","Wild Riders",1971,4.8,"Action",1
"105","Blue Ice",1992,4.9,"Action",1
"106","Profil bas",1993,5.5,"Action",1
"107","City Hunter: Ai to shukumei no Magnum",1989,7.9,"Action",1
"108","Sin City",2005,8.3,"Action",1
"109","Prey of the Jaguar",1996,3.8,"Action",1
"110","Booby Trap",1970,3.1,"Action",1
"111","Hathyar",1989,8,"Action",1
"112","Gangsters per un massacro",1968,4.8,"Action",1
"113","Mistiko tou Noemvri, To",2003,2.2,"Action",1
"114","Shark Attack",1999,3.1,"Action",1
"115","Mard",1985,6,"Action",1
"116","Reggie's Prayer",1996,3.3,"Action",1
"117","Nada x perder",2001,3.9,"Action",1
"118","Ghulam-E-Musthafa",1997,6,"Action",1
"119","Die xue shuang xiong",1989,8,"Action",1
"120","Garden of Evil",1954,6.4,"Action",1
"121","No Contest",1994,3.7,"Action",1
"122","Lord of the Rings: The Two Towers, The",2002,8.8,"Action",1
"123","Raiders of the Sun",1992,2.5,"Action",1
"124","Death Promise",1977,5.2,"Action",1
"125","Baau lit ying ging",1999,5.9,"Action",1
"126","Final Score",1986,3.9,"Action",1
"127","Oro diablo",2000,7.1,"Action",1
"128","Last of the Finest, The",1990,5.2,"Action",1
"129","Napoli violenta",1976,6.5,"Action",1
"130","Stockholmsnatt",1986,4.3,"Action",1
"131","Bai fa mo nu zhuan II",1993,5.8,"Action",1
"132","Pursuit",1991,2.8,"Action",1
"133","2019 - Dopo la caduta di New York",1983,5.3,"Action",1
"134","Serpent of Death, The",1989,4.7,"Action",1
"135","Crisis in the Kremlin",1992,4,"Action",1
"136","Under Pressure",2000,3.8,"Action",1
"137","Moving Target",1997,4.9,"Action",1
"138","Crackerjack 2",1996,2.7,"Action",1
"139","Tears of the Sun",2003,6.2,"Action",1
"140","Rupan sansei: Kariosutoro no shiro",1979,7.6,"Action",1
"141","Guns of Navarone, The",1961,7.6,"Action",1
"142","Treasure of the Sierra Madre, The",1948,8.4,"Action",1
"143","In the Red",1999,3.9,"Action",1
"144","Rough Draft",1997,3.4,"Action",1
"145","Russian Terminator",1990,2.5,"Action",1
"146","Santo: Infraterrestre",2001,5.1,"Action",1
"147","Mi querido Tom Mix",1991,4.5,"Action",1
"148","Terminal Entry",1986,3.9,"Action",1
"149","Legion of the Night",1995,4,"Action",1
"150","Mysterious Pilot, The",1937,4.3,"Action",1
"151","Immortel (ad vitam)",2004,5.9,"Action",1
"152","Force: Five",1981,4.4,"Action",1
"153","Odinokiy igrok",1995,6.7,"Action",1
"154","Alice in Wonderland",1949,6.6,"Action",1
"155","Whoa",2001,6.2,"Action",1
"156","Legend of the 7 Golden Vampires, The",1974,5.6,"Action",1
"157","Avatars",2001,3.3,"Action",1
"158","Jungle Queen",1945,7.6,"Action",1
"159","Jian hua yan yu jiang nan",1977,4.7,"Action",1
"160","Taras Bulba",1962,6,"Action",1
"161","Dante's Peak",1997,5.6,"Action",1
"162","Count of Monte Cristo, The",2002,7.4,"Action",1
"163","Romantic Fighter",1999,5.5,"Action",1
"164","Sansone contro il corsaro nero",1964,4.8,"Action",1
"165","Hellhole",1985,4.6,"Action",1
"166","NewsBreak",2000,3.7,"Action",1
"167","Wai Si-Lei chuen kei",1985,5.8,"Action",1
"168","Hsia yu-yen",1968,7.4,"Action",1
"169","Name of the Rose",2003,4.2,"Action",1
"170","Jade",1995,4.8,"Action",1
"171","Lady Avenger",1989,3.1,"Action",1
"172","Octopussy",1983,6.4,"Action",1
"173","Dog Tags",1990,4.4,"Action",1
"174","Death Wish V: The Face of Death",1994,3.7,"Action",1
"175","Fleshburn",1984,4.1,"Action",1
"176","Great Mouse Detective, The",1986,6.9,"Action",1
"177","WXIII: Patlabor the Movie 3",2002,6.6,"Action",1
"178","Doublecross On Costa's Island",1997,8.7,"Action",1
"179","Dark Side of the Moon, The",1990,4.3,"Action",1
"180","Flash Gordon Conquers the Universe",1940,6.4,"Action",1
"181","Out of Line",2001,4.9,"Action",1
"182","Assault on Precinct 13",1976,7.3,"Action",1
"183","Noon Sunday",1975,5.4,"Action",1
"184","Flying Disc Man from Mars",1950,4.9,"Action",1
"185","Texas, addio",1966,5.6,"Action",1
"186","Midnite Spares",1983,3.3,"Action",1
"187","Touch, The",2002,4.5,"Action",1
"188","Bichhoo",2000,5.4,"Action",1
"189","Facade",2000,4.8,"Action",1
"190","Final Solution",2001,7,"Action",1
"191","Sudden Fury",1997,5.2,"Action",1
"192","Nemesis 4: Death Angel",1995,1.7,"Action",1
"193","Power Play",2002,3.6,"Action",1
"194","Templer, Der",2002,5.7,"Action",1
"195","Shark in a Bottle",1998,3.3,"Action",1
"196","Night Fire",1994,2.8,"Action",1
"197","Antikiller",2002,5.4,"Action",1
"198","Secret Mission",2004,7.2,"Action",1
"199","Drop Zone",1994,5.5,"Action",1
"200","Battaglia di El Alamein, La",1969,4.9,"Action",1
"201","And God Created Woman",1988,4.1,"Comedy",2
"202","Hiss and Make Up",1943,6.8,"Comedy",2
"203","Kai... o protos matakias",1982,5.8,"Comedy",2
"204","Lighthouse Hill",2004,5.3,"Comedy",2
"205","Week-end Marriage",1932,6.7,"Comedy",2
"206","Folies bourgeoises",1976,4.4,"Comedy",2
"207","Fiddlers Three",1948,7.3,"Comedy",2
"208","Fliegende Klassenzimmer, Das",1954,7,"Comedy",2
"209","Kyr-Giorgis ekpedevetai, O",1977,6.1,"Comedy",2
"210","Horsing Around",1957,3.7,"Comedy",2
"211","Freudy Cat",1964,5.9,"Comedy",2
"212","Beezy Bear",1955,6.9,"Comedy",2
"213","Jeu de massacre",1967,6,"Comedy",2
"214","What Ever Happened to Baby Jane?",1962,7.7,"Comedy",2
"215","Her Urge",2000,5.5,"Comedy",2
"216","Doctor Dolittle",1998,5.4,"Comedy",2
"217","Pseftra, I",1963,5.3,"Comedy",2
"218","Herr Puntila und sein Knecht Matti",1955,6.7,"Comedy",2
"219","Death Becomes Her",1992,5.6,"Comedy",2
"220","Postman's Knock",1962,4.7,"Comedy",2
"221","Carton, Le",2004,5.8,"Comedy",2
"222","Amore difficile, L'",1962,5.6,"Comedy",2
"223","Going Spanish",1934,5.8,"Comedy",2
"224","Sacrament, Het",1990,6.3,"Comedy",2
"225","Cooler, The",2003,7,"Comedy",2
"226","Naughty Neighbors",1939,6.3,"Comedy",2
"227","Goofy Movies Number Four",1934,3.8,"Comedy",2
"228","Never Wave at a WAC",1952,6.6,"Comedy",2
"229","Going Sane",1986,4.4,"Comedy",2
"230","Seven Little Foys, The",1955,6.5,"Comedy",2
"231","Pop Goes the Easel",1935,8.2,"Comedy",2
"232","Dirty Laundry",1987,2.7,"Comedy",2
"233","Enas ntelikanis",1963,8.4,"Comedy",2
"234","Calendar Girl",1993,4.7,"Comedy",2
"235","Ghost of St. Michael's, The",1941,7.6,"Comedy",2
"236","Wake Up the Gypsy in Me",1933,6.9,"Comedy",2
"237","Proverb, The",2004,5.4,"Comedy",2
"238","London Town",1946,3.3,"Comedy",2
"239","Omicron",1963,7.8,"Comedy",2
"240","Tillie's Punctured Romance",1914,6.3,"Comedy",2
"241","Nobody's Perfekt",1981,4.1,"Comedy",2
"242","Triple Bogey on a Par Five Hole",1991,7.4,"Comedy",2
"243","Gothic Romance, A",2004,8.2,"Comedy",2
"244","Who Scent You?",1960,6.3,"Comedy",2
"245","Deduce, You Say",1956,7.2,"Comedy",2
"246","Bibo per sempre",2000,4.9,"Comedy",2
"247","Gremlins 2: The New Batch",1990,5.9,"Comedy",2
"248","Folks!",1992,4.2,"Comedy",2
"249","Crazysitter, The",1995,3.8,"Comedy",2
"250","Design for Living",1933,7.9,"Comedy",2
"251","Bring It On",2000,6.1,"Comedy",2
"252","Daffy - The Commando",1943,7.5,"Comedy",2
"253","Head Office",1985,5,"Comedy",2
"254","Cock o' the Walk",1935,7.2,"Comedy",2
"255","Premier mai",1958,6.8,"Comedy",2
"256","Busy Buddies",1956,5.9,"Comedy",2
"257","Winter Break",2003,5.2,"Comedy",2
"258","Such Good Friends",1971,5.4,"Comedy",2
"259","Highest Bidder, The",2003,7.3,"Comedy",2
"260","Top Banana",1954,5.8,"Comedy",2
"261","Ahortagos, O",1967,5.4,"Comedy",2
"262","Yukon Jake",1924,4.8,"Comedy",2
"263","Cagey Canary, The",1941,6.8,"Comedy",2
"264","Adventures of Lucky Pierre, The",1961,1.9,"Comedy",2
"265","Dreamboat",1952,6.7,"Comedy",2
"266","Hollywood Party",1937,5.8,"Comedy",2
"267","P.S.",2004,6.3,"Comedy",2
"268","Fridolf sticker opp!",1958,4.6,"Comedy",2
"269","Billboard Girl",1932,6.1,"Comedy",2
"270","Kubanskiye kazaki",1949,7.1,"Comedy",2
"271","Rotten to the Core",1965,4.5,"Comedy",2
"272","Tortue sur le dos, La",1978,6.9,"Comedy",2
"273","Love Nest",1951,5.9,"Comedy",2
"274","Incredible Shrinking Woman, The",1981,4.8,"Comedy",2
"275","Brave Little Tailor",1938,8.1,"Comedy",2
"276","Luna Papa",1999,7.1,"Comedy",2
"277","Halbzarte, Die",1958,5.1,"Comedy",2
"278","Kamikazi, agapi mou",1983,5.3,"Comedy",2
"279","Couch Trip, The",1988,5.3,"Comedy",2
"280","Delicate Art of the Rifle, The",1996,6.8,"Comedy",2
"281","Faithful",1996,5.6,"Comedy",2
"282","Lola Zipper",1991,3.5,"Comedy",2
"283","Fighting Stock",1935,4.4,"Comedy",2
"284","Danny Deckchair",2003,6.5,"Comedy",2
"285","Bartleby",2001,6.1,"Comedy",2
"286","Miss Fatty's Seaside Lovers",1915,5.4,"Comedy",2
"287","Sons o' Guns",1936,5.8,"Comedy",2
"288","Great Lengths",2004,7,"Comedy",2
"289","Beyond the Valley of the Dolls",1970,5.4,"Comedy",2
"290","That Thing You Do!",1996,6.6,"Comedy",2
"291","Majorens oppasser",1964,5.8,"Comedy",2
"292","Tin Men",1987,6.4,"Comedy",2
"293","Invisible Menace, The",1938,5.2,"Comedy",2
"294","Sidewalk Stories",1989,6.2,"Comedy",2
"295","Honeymoon",1997,5.2,"Comedy",2
"296","Fun in a Bakery Shop",1902,5.3,"Comedy",2
"297","Easy Living",1937,7.6,"Comedy",2
"298","Blondie of the Follies",1932,6,"Comedy",2
"299","Irish and Proud of It",1938,1,"Comedy",2
"300","Ache in Every Stake, An",1941,8.1,"Comedy",2
"301","You'll Never Get Rich",1941,6.6,"Comedy",2
"302","Dopey Dicks",1950,7.7,"Comedy",2
"303","V.I. Warshawski",1991,4.4,"Comedy",2
"304","Love Is a Ball",1963,5.2,"Comedy",2
"305","Bureau of Missing Persons",1933,6.5,"Comedy",2
"306","Making of '...And God Spoke', The",1993,6.1,"Comedy",2
"307","Matchmaker, The",1958,6.9,"Comedy",2
"308","Last American Virgin, The",2000,5.1,"Comedy",2
"309","Hatari!",1962,7.1,"Comedy",2
"310","North Beach",2000,5.4,"Comedy",2
"311","Giovannona coscialunga, disonorata con onore",1973,6.2,"Comedy",2
"312","Work and the Story, The",2003,5.8,"Comedy",2
"313","Sucker Punch",2003,3.4,"Comedy",2
"314","What Makes Daffy Duck",1948,6.9,"Comedy",2
"315","Fantasia chez les ploucs",1971,4.3,"Comedy",2
"316","Galaxies Are Colliding",1992,4,"Comedy",2
"317","Olsen-banden",1969,6.5,"Comedy",2
"318","Ace Ventura: When Nature Calls",1995,4.9,"Comedy",2
"319","Identity Crisis",1989,2.2,"Comedy",2
"320","Donald's Lucky Day",1939,8.1,"Comedy",2
"321","Looney, Looney, Looney Bugs Bunny Movie, The",1981,6.6,"Comedy",2
"322","On aura tout vu",1976,5.7,"Comedy",2
"323","Hamis a baba",1991,7.1,"Comedy",2
"324","Gang's All Here, The",1941,6,"Comedy",2
"325","Survive Style 5+",2004,7.9,"Comedy",2
"326","New Suit",2002,5.8,"Comedy",2
"327","Ocean's Eleven",1960,6.3,"Comedy",2
"328","Riveter, The",1940,7,"Comedy",2
"329","Easy Street",1917,8,"Comedy",2
"330","Last of the Secret Agents?, The",1966,3.6,"Comedy",2
"331","Amici miei",1975,8.1,"Comedy",2
"332","Viaje a ninguna parte, El",1986,7.8,"Comedy",2
"333","Tre mogli",2001,6.2,"Comedy",2
"334","Uuno Turhapuro, Suomen tasavallan herra presidentti",1992,3.9,"Comedy",2
"335","Mariages!",2004,5.8,"Comedy",2
"336","Sour Grapes",1998,5.3,"Comedy",2
"337","Linguini Incident, The",1991,5.7,"Comedy",2
"338","Nado anaega isseosseumyeon johgessda",2001,6.8,"Comedy",2
"339","White Bits",2002,8.6,"Comedy",2
"340","Blondie's Big Moment",1947,5.9,"Comedy",2
"341","American Detective",1999,5.2,"Comedy",2
"342","5 Millionen suchen einen Erben",1938,6.5,"Comedy",2
"343","Mickey's Nightmare",1932,6.5,"Comedy",2
"344","Towed in a Hole",1932,8,"Comedy",2
"345","Satisfaction",1988,3.9,"Comedy",2
"346","Violetas imperiales",1952,6.5,"Comedy",2
"347","Muddy Romance, A",1913,4.8,"Comedy",2
"348","Carabiniere a cavallo, Il",1961,5.3,"Comedy",2
"349","Juoksuhaudantie",2004,6.5,"Comedy",2
"350","Terca vida",2000,5,"Comedy",2
"351","Summer Night Fever",1978,3.6,"Comedy",2
"352","Pane e tulipani",2000,7.3,"Comedy",2
"353","Pyromaniac's Love Story, A",1995,4.9,"Comedy",2
"354","Slap Her... She's French",2002,4.7,"Comedy",2
"355","Honolulu",2001,7,"Comedy",2
"356","Return of the Pink Panther, The",1975,6.8,"Comedy",2
"357","Workaholic",1996,4.5,"Comedy",2
"358","Mekhanicheskaya syuita",2001,6.4,"Comedy",2
"359","Undertaker's Paradise",2000,5.7,"Comedy",2
"360","Domestico, Il",1974,6,"Comedy",2
"361","Auguri professore",1997,7.2,"Comedy",2
"362","Another You",1991,4.4,"Comedy",2
"363","In the Army Now",1994,4.1,"Comedy",2
"364","Two-Gun Mickey",1934,6.2,"Comedy",2
"365","Qing sheng",1991,6.2,"Comedy",2
"366","Tweety and the Beanstalk",1957,7.3,"Comedy",2
"367","Hucksters, The",1947,6.4,"Comedy",2
"368","God's Gift to Women",1931,3.9,"Comedy",2
"369","Hurt Penguins",1992,4.6,"Comedy",2
"370","Last Married Couple in America, The",1980,4.8,"Comedy",2
"371","My Little Chickadee",1940,7.3,"Comedy",2
"372","Only the Lonely",1991,6,"Comedy",2
"373","Butterflies Are Free",1972,6.7,"Comedy",2
"374","Gang Buster, The",1931,6.4,"Comedy",2
"375","Pleasure of His Company, The",1961,6.6,"Comedy",2
"376","Tajna manastirske rakije",1988,4.7,"Comedy",2
"377","She's the One",1996,6,"Comedy",2
"378","Babe: Pig in the City",1998,6.5,"Comedy",2
"379","When Harry Met Sally...",1989,7.7,"Comedy",2
"380","You Can't Have Everything",1937,6.7,"Comedy",2
"381","Penny Princess",1952,6,"Comedy",2
"382","Heathers",1989,7.4,"Comedy",2
"383","Someone to Love",1987,5.6,"Comedy",2
"384","Grandes vacances, Les",1967,6.2,"Comedy",2
"385","Charlie Bubbles",1967,6,"Comedy",2
"386","Mortuary Academy",1988,4,"Comedy",2
"387","C'era un castello con 40 cani",1990,4.2,"Comedy",2
"388","Police Academy 4: Citizens on Patrol",1987,3.4,"Comedy",2
"389","Donald's Tire Trouble",1943,6.6,"Comedy",2
"390","Kleines Tropicana - Tropicanita",1997,7.7,"Comedy",2
"391","Otoko wa tsurai yo: Shiretoko bojo",1987,7,"Comedy",2
"392","Confessions of a Teenage Drama Queen",2004,4.4,"Comedy",2
"393","James Gang, The",1997,5.2,"Comedy",2
"394","Hot T-Shirts",1979,1.6,"Comedy",2
"395","Porky's Poor Fish",1940,7.4,"Comedy",2
"396","Bloodsucking Pharaohs in Pittsburgh",1991,3.6,"Comedy",2
"397","Fan chan",2003,6.9,"Comedy",2
"398","Fearless Frank",1967,3.2,"Comedy",2
"399","Zhivyot takoy paren",1964,8,"Comedy",2
"400","Boat Trip",2002,4.5,"Comedy",2
